CPUs Experimento Ambiente Tempo Disco
10 17 kvm 139.32 1380409628
10 18 kvm 139.64 1380589644
10 19 kvm 142.43 1380229612
10 20 kvm 141.25 1380409628
10 21 kvm 140.53 1380229612
10 22 kvm 142.87 1380589644
10 23 kvm 140.73 1380409628
10 24 kvm 141.01 1380409628
10 25 kvm 142.10 1380229612
10 26 kvm 140.35 1380229612
10 27 kvm 140.44 1380409628
10 28 kvm 144.01 1380229612
10 29 kvm 142.31 1380589644
10 30 kvm 141.08 1380049596
16 1 kvm 125.25 1380949676
16 2 kvm 126.18 1380769660
16 3 kvm 128.17 1381129692
16 4 kvm 124.81 1381129692
16 5 kvm 125.12 1380769660
16 6 kvm 123.77 1380769660
16 7 kvm 127.25 1380769660
16 8 kvm 125.20 1380409628
16 9 kvm 126.64 1380589644
16 10 kvm 126.27 1380589644
16 11 kvm 128.95 1380589644
16 12 kvm 128.10 1381129692
16 13 kvm 125.66 1380769660
16 14 kvm 127.33 1380949676
16 15 kvm 127.38 1380589644
16 16 kvm 125.89 1380769660
16 17 kvm 125.73 1380949676
16 18 kvm 128.39 1380949676
16 19 kvm 125.38 1380589644
16 20 kvm 124.14 1380949676
16 21 kvm 127.79 1380769660
16 22 kvm 124.20 1380949676
16 23 kvm 125.78 1380769660
16 24 kvm 128.19 1380769660
16 25 kvm 124.89 1380949676
16 26 kvm 126.70 1380769660
16 27 kvm 125.22 1380589644
16 28 kvm 125.89 1380949676
16 29 kvm 124.86 1380409628
16 30 kvm 127.88 1380949676
20 1 kvm 125.59 1381309708
20 2 kvm 124.28 1380949676
20 3 kvm 123.89 1381309708
20 4 kvm 124.35 1380949676
20 5 kvm 123.80 1381129692
20 6 kvm 123.80 1381309708
20 7 kvm 121.98 1380949676
20 8 kvm 121.80 1381309708
20 9 kvm 124.46 1381309708
20 10 kvm 123.59 1381129692
20 11 kvm 124.89 1381669740
20 12 kvm 124.11 1381309708
20 13 kvm 122.17 1381309708
20 14 kvm 124.80 1381309708
20 15 kvm 124.18 1381129692
20 16 kvm 123.11 1381309708
20 17 kvm 124.32 1381489724
20 18 kvm 123.55 1381669740
